Program	Message	Time	Details
PAC-MAN Championship Edition DX+	key down	420937	Right
PAC-MAN Championship Edition DX+	key up	421077	Right
PAC-MAN Championship Edition DX+	key down	421452	Right
PAC-MAN Championship Edition DX+	key up	421670	Right
PAC-MAN Championship Edition DX+	key down	424619	Up
PAC-MAN Championship Edition DX+	key up	424837	Up
PAC-MAN Championship Edition DX+	key down	425165	Left
PAC-MAN Championship Edition DX+	key up	425586	Left
PAC-MAN Championship Edition DX+	key down	426210	Up
PAC-MAN Championship Edition DX+	key up	426709	Up
PAC-MAN Championship Edition DX+	key down	427427	Left
PAC-MAN Championship Edition DX+	key up	427739	Left
PAC-MAN Championship Edition DX+	key down	427926	Up
PAC-MAN Championship Edition DX+	key up	428316	Up
PAC-MAN Championship Edition DX+	key down	430219	Left
PAC-MAN Championship Edition DX+	key up	430687	Left
PAC-MAN Championship Edition DX+	key down	433698	Up
PAC-MAN Championship Edition DX+	key up	433963	Up
PAC-MAN Championship Edition DX+	key down	435944	Right
PAC-MAN Championship Edition DX+	key up	437473	Right
PAC-MAN Championship Edition DX+	key down	442247	Down
PAC-MAN Championship Edition DX+	key up	442543	Down
PAC-MAN Championship Edition DX+	key down	443074	Left
PAC-MAN Championship Edition DX+	key up	443339	Left
PAC-MAN Championship Edition DX+	key down	443557	Down
PAC-MAN Championship Edition DX+	key up	443822	Down
PAC-MAN Championship Edition DX+	key down	444540	Right
PAC-MAN Championship Edition DX+	key up	444805	Right
PAC-MAN Championship Edition DX+	key down	445102	Down
PAC-MAN Championship Edition DX+	key up	445242	Down
PAC-MAN Championship Edition DX+	key down	445570	Left
PAC-MAN Championship Edition DX+	key up	445788	Left
PAC-MAN Championship Edition DX+	key down	450671	Up
PAC-MAN Championship Edition DX+	key up	450967	Up
PAC-MAN Championship Edition DX+	key down	453042	Left
PAC-MAN Championship Edition DX+	key up	453292	Left
PAC-MAN Championship Edition DX+	key down	453401	Right
PAC-MAN Championship Edition DX+	key up	453619	Right
PAC-MAN Championship Edition DX+	key down	454181	Left
PAC-MAN Championship Edition DX+	key down	454524	Down
PAC-MAN Championship Edition DX+	key up	454524	Left
PAC-MAN Championship Edition DX+	key up	454852	Down
PAC-MAN Championship Edition DX+	key down	458486	Right
PAC-MAN Championship Edition DX+	key up	458798	Right
PAC-MAN Championship Edition DX+	key down	460249	Up
PAC-MAN Championship Edition DX+	key up	460577	Up
PAC-MAN Championship Edition DX+	key down	463073	Left
PAC-MAN Championship Edition DX+	key up	463400	Left
PAC-MAN Championship Edition DX+	key down	463416	Down
PAC-MAN Championship Edition DX+	key up	464056	Down
PAC-MAN Championship Edition DX+	key down	464118	Down
PAC-MAN Championship Edition DX+	key up	464243	Down
PAC-MAN Championship Edition DX+	key down	465070	Left
PAC-MAN Championship Edition DX+	key up	466006	Left
PAC-MAN Championship Edition DX+	key down	466068	Down
PAC-MAN Championship Edition DX+	key up	466739	Down
PAC-MAN Championship Edition DX+	key down	468424	Left
PAC-MAN Championship Edition DX+	key up	468861	Left
PAC-MAN Championship Edition DX+	key down	469547	Up
PAC-MAN Championship Edition DX+	key up	470124	Up
PAC-MAN Championship Edition DX+	key down	475974	Up
PAC-MAN Championship Edition DX+	key up	476271	Up
PAC-MAN Championship Edition DX+	key down	476349	Right
PAC-MAN Championship Edition DX+	key up	477004	Right
PAC-MAN Championship Edition DX+	key down	477690	Up
PAC-MAN Championship Edition DX+	key up	477909	Up
PAC-MAN Championship Edition DX+	key down	478033	Left
PAC-MAN Championship Edition DX+	key up	478470	Left
PAC-MAN Championship Edition DX+	key down	479063	Down
PAC-MAN Championship Edition DX+	key up	479905	Down
PAC-MAN Championship Edition DX+	key down	480436	Right
PAC-MAN Championship Edition DX+	key down	483946	Down
PAC-MAN Championship Edition DX+	key up	483977	Right
PAC-MAN Championship Edition DX+	key down	484258	Left
PAC-MAN Championship Edition DX+	key up	484273	Down
PAC-MAN Championship Edition DX+	key down	485100	Up
PAC-MAN Championship Edition DX+	key up	485131	Left
PAC-MAN Championship Edition DX+	key up	485553	Up
PAC-MAN Championship Edition DX+	key down	485568	Left
PAC-MAN Championship Edition DX+	key down	485911	Up
PAC-MAN Championship Edition DX+	key up	485927	Left
PAC-MAN Championship Edition DX+	key up	486270	Up
PAC-MAN Championship Edition DX+	key down	486286	Right
PAC-MAN Championship Edition DX+	key down	487206	Down
PAC-MAN Championship Edition DX+	key up	487237	Right
PAC-MAN Championship Edition DX+	key down	487471	Left
PAC-MAN Championship Edition DX+	key up	487518	Down
PAC-MAN Championship Edition DX+	key down	488579	Down
PAC-MAN Championship Edition DX+	key up	488610	Left
