Program	Message	Time	Details
Papers Please	mouse left up	12853811	(1222, 466)
Papers Please	mouse left down	12857680	(416, 623)
Papers Please	mouse left up	12858429	(773, 541)
Papers Please	mouse left down	12860004	(1257, 525)
Papers Please	mouse left up	12860129	(1257, 525)
Papers Please	mouse left down	12864560	(1365, 429)
Papers Please	mouse left up	12864653	(1364, 430)
Papers Please	mouse left down	12865168	(742, 615)
Papers Please	mouse left up	12865698	(1175, 649)
Papers Please	mouse left down	12866042	(1177, 463)
Papers Please	mouse left up	12866135	(1177, 463)
Papers Please	mouse left down	12866369	(1216, 645)
Papers Please	mouse left up	12866946	(415, 450)
Papers Please	mouse left down	12867492	(407, 643)
Papers Please	mouse left up	12868662	(747, 389)
Papers Please	mouse left down	12869333	(719, 402)
Papers Please	mouse left up	12871283	(564, 652)
Papers Please	mouse left down	12872157	(567, 278)
Papers Please	mouse left up	12872282	(567, 278)
Papers Please	mouse left down	12873920	(899, 362)
Papers Please	mouse left up	12874029	(899, 362)
Papers Please	mouse left down	12875324	(1205, 465)
Papers Please	mouse left up	12875433	(1205, 465)
Papers Please	mouse left down	12878693	(405, 634)
Papers Please	mouse left up	12879629	(783, 537)
Papers Please	mouse left down	12880253	(1266, 519)
Papers Please	mouse left up	12880362	(1266, 519)
Papers Please	mouse left down	12881283	(785, 504)
Papers Please	mouse left up	12882796	(811, 511)
Papers Please	mouse left down	12884091	(1331, 744)
Papers Please	mouse left up	12884216	(1325, 741)
Papers Please	mouse left down	12885588	(823, 597)
Papers Please	mouse left up	12885682	(823, 597)
Papers Please	mouse left down	12886197	(402, 457)
Papers Please	mouse left up	12886290	(402, 457)
Papers Please	mouse left down	12888287	(412, 697)
Papers Please	mouse left up	12888397	(412, 697)
Papers Please	mouse left down	12922717	(1298, 736)
Papers Please	mouse left up	12922842	(1298, 736)
Papers Please	mouse left down	12926976	(814, 735)
Papers Please	mouse left up	12927147	(814, 735)
Papers Please	mouse left down	12938988	(1118, 714)
Papers Please	mouse left up	12939097	(1118, 714)
Papers Please	mouse left down	12941094	(1118, 714)
Papers Please	mouse left up	12941218	(1118, 714)
Papers Please	mouse left down	12941874	(1118, 714)
Papers Please	mouse left up	12941967	(1118, 714)
Papers Please	mouse left down	12942310	(1013, 500)
Papers Please	mouse left up	12943028	(322, 749)
Papers Please	mouse left down	12943699	(568, 280)
Papers Please	mouse left up	12943792	(568, 280)
Papers Please	mouse left down	12944292	(559, 380)
Papers Please	mouse left up	12944385	(559, 380)
Papers Please	mouse left down	12945930	(480, 713)
Papers Please	mouse left up	12946585	(1071, 520)
Papers Please	mouse left down	12947037	(1166, 493)
Papers Please	mouse left up	12947115	(1166, 493)
Papers Please	mouse left down	12950157	(415, 607)
Papers Please	mouse left up	12951125	(746, 558)
Papers Please	mouse left down	12952217	(980, 561)
Papers Please	mouse left up	12952326	(980, 561)
Papers Please	mouse left down	12958675	(733, 669)
Papers Please	mouse left up	12958800	(733, 669)
Papers Please	mouse left down	12959720	(429, 627)
Papers Please	mouse left up	12960609	(913, 504)
Papers Please	mouse left down	12963027	(828, 634)
Papers Please	mouse left up	12963745	(1222, 657)
Papers Please	mouse left down	12964400	(1355, 448)
Papers Please	mouse left up	12964541	(1355, 448)
Papers Please	mouse left down	12965258	(1246, 462)
Papers Please	mouse left up	12965367	(1243, 461)
Papers Please	mouse left down	12965679	(1146, 685)
Papers Please	mouse left up	12966366	(419, 454)
Papers Please	mouse left down	12967037	(789, 524)
Papers Please	mouse left up	12967598	(377, 484)
Papers Please	mouse left down	12970141	(576, 276)
Papers Please	mouse left up	12970281	(576, 276)
Papers Please	mouse left down	12973745	(850, 379)
Papers Please	mouse left up	12973838	(850, 379)
